127.0.0.1, 2017-08-08 14:59:52, GET, /robots.txt, HTTP/1.1, 400, 0.000435
127.0.0.1, 2017-08-08 14:59:52, GET, /admin/static/_2.15.3/images/help.png, HTTP/1.1, 200, 0.001376
127.0.0.1, 2017-08-08 14:59:52, GET, /admin/static/_2.15.3/images/delete_icon.png, HTTP/1.1, 200, 0.000594
127.0.0.1, 2017-08-08 14:59:52, GET, /admin/static/_2.15.3/images/test_icon.png, HTTP/1.1, 200, 0.000481
127.0.0.1, 2017-08-08 14:59:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000452
127.0.0.1, 2017-08-08 15:17:03, GET, /robots.txt, HTTP/1.1, 400, 0.025516
127.0.0.1, 2017-08-08 15:17:03, GET, /admin/default/site, HTTP/1.1, 200, 0.075244
127.0.0.1, 2017-08-08 15:17:03, GET, /robots.txt, HTTP/1.1, 400, 0.000402
127.0.0.1, 2017-08-08 15:17:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
127.0.0.1, 2017-08-08 15:17:05, GET, /robots.txt, HTTP/1.1, 400, 0.000392
127.0.0.1, 2017-08-08 15:17:06, GET, /robots.txt, HTTP/1.1, 400, 0.000524
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/default/index, HTTP/1.1, 200, 0.874672
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/js/jquery.js, HTTP/1.1, 200, 0.000640
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.014488
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.017066
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/css/calendar.css, HTTP/1.1, 200, 0.001230
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/js/calendar.js, HTTP/1.1, 200, 0.000612
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/js/web2py.js, HTTP/1.1, 200, 0.000604
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000613
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000611
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/js/share.js, HTTP/1.1, 200, 0.000576
127.0.0.1, 2017-08-08 15:17:07, GET, /robots.txt, HTTP/1.1, 400, 0.000329
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/images/background.jpg, HTTP/1.1, 200, 0.000715
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000628
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/images/twitter.png, HTTP/1.1, 200, 0.000624
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/images/facebook.png, HTTP/1.1, 200, 0.000620
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/images/gplus-32.png, HTTP/1.1, 200, 0.000692
127.0.0.1, 2017-08-08 15:17:07, GET, /diario_obra/static/images/favicon.ico, HTTP/1.1, 200, 0.000504
127.0.0.1, 2017-08-08 15:18:06, GET, /robots.txt, HTTP/1.1, 400, 0.000293
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/default/edit/diario_obra/views/layout.html, HTTP/1.1, 200, 0.084994
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000723
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000660
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000597
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000644
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000557
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000660
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000646
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002095
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000611
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000645
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000627
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000675
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000706
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001345
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002176
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000969
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003211
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000675
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001434
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001062
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000580
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.003379
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001797
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000602
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001312
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000899
127.0.0.1, 2017-08-08 15:18:06, GET, /robots.txt, HTTP/1.1, 400, 0.000396
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000612
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000597
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000537
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000689
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/js/ajax_editor.js, HTTP/1.1, 200, 0.001340
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/js/typeahead.min.js, HTTP/1.1, 200, 0.000961
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001054
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001908
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/images/files_toggle.png, HTTP/1.1, 200, 0.000418
127.0.0.1, 2017-08-08 15:18:06, GET, /admin/static/_2.15.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000586
127.0.0.1, 2017-08-08 15:18:07, GET, /admin/default/edit/diario_obra/views/layout.html, HTTP/1.1, 200, 0.050740
127.0.0.1, 2017-08-08 15:18:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.181367
127.0.0.1, 2017-08-08 15:18:07, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.194717
127.0.0.1, 2017-08-08 15:18:07, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.231454
127.0.0.1, 2017-08-08 15:18:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000440
